Nr;Jahr (ca.);Zitat;Urheber
63;1891;Ich habe einen ganz einfachen Geschmack: Ich bin immer mit dem Besten zufrieden.;Oscar Wilde
64;1964;I can't get no satisfaction.;The Rolling Stones
65;1932;Schöne neue Welt.;Aldous Huxley
66;1979;Don't Panic.;Douglas Adams (Per Anhalter durch die Galaxis)
67;1928;Erst kommt das Fressen, dann kommt die Moral.;Bertolt Brecht
68;1895;Das Genie ist ein Prozent Inspiration und neunundneunzig Prozent Transpiration.;Thomas Edison
69;1953;Warten auf Godot.;Samuel Beckett
70;1902;Es ist nicht wenig Zeit, die wir haben, sondern es ist viel Zeit, die wir nicht nutzen.;Seneca
71;1922;Alles Fließt.;Heraklit
72;1918;Der Krieg ist der Vater aller Dinge.;Heraklit
73;1951;Der Fänger im Roggen.;J.D. Salinger
74;1988;Just Do It.;Nike (Slogan)
75;1975;Der Weiße Hai: Wir brauchen ein größeres Boot.;Chief Brody
76;1930;Das Sein bestimmt das Bewusstsein.;Karl Marx
77;1995;Houston, wir haben ein Problem.;Apollo 13 (Film)
78;1955;Denn sie wissen nicht, was sie tun.;James Dean (Film)
79;1947;Freiheit bedeutet Verantwortlichkeit. Das ist der Grund;warum die meisten Menschen sich vor ihr fürchten.
80;1924;Der Zauberberg.;Thomas Mann
81;1962;James Bond: Mein Name ist Bond. James Bond.;Sean Connery
82;1908;Wichtig ist nicht der Sieg, sondern die Teilnahme.;Pierre de Coubertin
83;1841;Einigkeit und Recht und Freiheit.;August Heinrich Hoffmann von Fallersleben
84;1790;Was ist Aufklärung?;Immanuel Kant
85;1936;L'état c'est moi (Der Staat bin ich).;Ludwig XIV (zugeschrieben)
86;1929;Pfeife: Dies ist keine Pfeife.;René Magritte
87;1950;Alle Menschen sind frei und gleich an Würde und Rechten geboren.;UN-Menschenrechtscharta
88;1972;Der Pate: Ich mache ihm ein Angebot, das er nicht ablehnen kann.;Marlon Brando
89;1984;Think Different.;Apple (Slogan)
90;1960;Psycho: Wir alle drehen manchmal ein bisschen durch.;Norman Bates
91;1912;Der Steppenwolf.;Hermann Hesse
92;1943;Das Glas ist halb voll oder halb leer.;Volksmund
93;1959;Manche mögen's heiß.;Filmtitel
94;1967;All You Need Is Love.;The Beatles
95;1970;Let It Be.;The Beatles
96;1982;The Winner Takes It All.;ABBA
97;1990;Wind of Change.;Scorpions
98;1926;Gott würfelt nicht.;Albert Einstein
99;1941;Man braucht zwei Jahre, um sprechen zu lernen, und fünfzig, um schweigen zu lernen.;Ernest Hemingway
100;2001;Einer für alle, alle für einen.;Die drei Musketiere (Alexandre Dumas)
101;1919;Ein Volk, das seine Geschichte nicht kennt, ist dazu verdammt, sie zu wiederholen.;George Santayana
102;1940;Die einzige Sache, die wir zu fürchten haben, ist die Furcht selbst.;Franklin D. Roosevelt
103;1958;Wer später bremst ist länger schnell.;Volksmund (Motorsport)
104;1981;Niemand ist eine Insel, in sich ganz.;John Donne
105;1904;The purpose of our lives is to be happy.;Dalai Lama
106;1993;I'll be back.;Terminator
107;1922;Stay hungry, stay foolish.;Steve Jobs (zitiert Stewart Brand)
108;1965;Turn on tune in drop out.;Timothy Leary
109;1931;In der Ruhe liegt die Kraft.;Konfuzius (zugeschrieben)
110;1862;Blut und Eisen.;Otto von Bismarck
111;1945;Krieg ist Frieden, Freiheit ist Sklaverei, Unwissenheit ist Stärke.;George Orwell
112;1983;Every breath you take.;The Police
113;1957;Der Mensch ist das Maß aller Dinge.;Protagoras
114;1994;Life is like a box of chocolates.;Forrest Gump
115;2001;I'm the king of the world!;Titanic
116;1938;E=mc²;Albert Einstein
117;1941;Der Weg zum Erfolg ist gepflastert mit Misserfolgen.;Winston Churchill
118;1989;Another brick in the wall.;Pink Floyd
119;1927;Der Mensch ist dem Menschen ein Wolf.;Thomas Hobbes
120;1969;One small step for man.;Neil Armstrong
121;1977;May the force be with you.;Star Wars
122;1942;Here's looking at you kid.;Casablanca
123;1954;Under the boardwalk.;The Drifters
124;1991;Smells like teen spirit.;Nirvana
125;1921;Ich weiß nicht, ob es besser wird, wenn es anders wird. Aber es muss anders werden, wenn es besser werden soll.;Georg Christoph Lichtenberg
126;1936;Modern Times.;Charlie Chaplin
127;1962;To be or not to be.;William Shakespeare
128;1950;The quality of mercy is not strained.;William Shakespeare
129;1943;The little prince.;Antoine de Saint-Exupéry
130;1980;You talkin' to me?;Taxi Driver
131;1972;I'm gonna make him an offer he can't refuse.;The Godfather
132;1999;The first rule of Fight Club is: You do not talk about Fight Club.;Fight Club
133;1939;There's no place like home.;The Wizard of Oz
134;1985;We are the world, we are the children.;USA for Africa
135;1963;I want to hold your hand.;The Beatles
136;1920;The Waste Land.;T.S. Eliot
137;1956;Heartbreak Hotel.;Elvis Presley
138;1979;The wall.;Pink Floyd
139;1948;1984.;George Orwell
140;1900;The Interpretation of Dreams.;Sigmund Freud
141;1925;The Great Gatsby.;F. Scott Fitzgerald
142;1951;The Catcher in the Rye.;J.D. Salinger
143;1961;Catch-22.;Joseph Heller
144;1974;The Godfather Part II.;Francis Ford Coppola
145;1994;Pulp Fiction.;Quentin Tarantino
146;1982;Blade Runner.;Ridley Scott
147;1977;Star Wars.;George Lucas
148;1968;2001: A Space Odyssey.;Stanley Kubrick
149;1941;Citizen Kane.;Orson Welles
150;1952;Singin' in the Rain.;Gene Kelly
151;1905;Special Relativity.;Albert Einstein
152;1915;General Relativity.;Albert Einstein
153;1928;The Threepenny Opera.;Bertolt Brecht
154;1953;The Crucible.;Arthur Miller
155;1947;A Streetcar Named Desire.;Tennessee Williams
156;1960;To Kill a Mockingbird.;Harper Lee
157;1954;Lord of the Flies.;William Golding
158;1945;Animal Farm.;George Orwell
159;1937;The Hobbit.;J.R.R. Tolkien
160;1954;The Lord of the Rings.;J.R.R. Tolkien
161;1922;Ulysses.;James Joyce
162;1913;In Search of Lost Time.;Marcel Proust
163;1942;The Stranger.;Albert Camus
164;1952;Waiting for Godot.;Samuel Beckett
165;1958;Things Fall Apart.;Chinua Achebe
166;1967;One Hundred Years of Solitude.;Gabriel García Márquez
167;1987;Beloved.;Toni Morrison
168;1924;The Magic Mountain.;Thomas Mann
169;1932;Brave New World.;Aldous Huxley
170;1949;The Second Sex.;Simone de Beauvoir
171;1962;The Silent Spring.;Rachel Carson
172;1921;The Prophet.;Kahlil Gibran
173;1936;The General Theory of Employment Interest and Money.;John Maynard Keynes
174;1859;On the Origin of Species.;Charles Darwin
175;1848;The Communist Manifesto.;Karl Marx & Friedrich Engels
176;1776;The Wealth of Nations.;Adam Smith
177;1687;Principia Mathematica.;Isaac Newton
178;1637;Discourse on the Method.;René Descartes
179;1605;Don Quixote.;Miguel de Cervantes
180;1513;The Prince.;Niccolò Machiavelli
181;1929;A Room of One's Own.;Virginia Woolf
182;1944;The Road to Serfdom.;Friedrich Hayek
183;1963;The Feminine Mystique.;Betty Friedan
184;1971;A Theory of Justice.;John Rawls
185;1948;The Kinsey Reports.;Alfred Kinsey
186;1902;The Varieties of Religious Experience.;William James
187;1910;The Principles of Psychology.;William James
188;1934;The Logic of Scientific Discovery.;Karl Popper
189;1962;The Structure of Scientific Revolutions.;Thomas Kuhn
190;1975;Discipline and Punish.;Michel Foucault
191;1905;The Protestant Ethic and the Spirit of Capitalism.;Max Weber
192;1917;The Russian Revolution.;Leon Trotsky
193;1945;The Open Society and Its Enemies.;Karl Popper
194;1951;The Origins of Totalitarianism.;Hannah Arendt
195;1961;The Wretched of the Earth.;Frantz Fanon
196;1972;Ways of Seeing.;John Berger
197;1978;Orientalism.;Edward Said
198;1990;Gender Trouble.;Judith Butler
199;1993;The Clash of Civilizations.;Samuel Huntington
200;2014;Capital in the Twenty-First Century.;Thomas Piketty
201;1987;Never Gonna Give You Up.;Rick Astley
202;1991;Losing My Religion.;R.E.M.
203;1992;Smells Like Teen Spirit.;Nirvana
204;1994;Black Hole Sun.;Soundgarden
205;1995;Wonderwall.;Oasis
206;1997;Bitter Sweet Symphony.;The Verve
207;1999;...Baby One More Time.;Britney Spears
208;2000;Stan.;Eminem
209;2003;Seven Nation Army.;The White Stripes
210;2006;Rehab.;Amy Winehouse
211;2008;Poker Face.;Lady Gaga
212;2010;Rolling in the Deep.;Adele
213;2011;Video Games.;Lana Del Rey
214;2013;Get Lucky.;Daft Punk
215;2015;Hello.;Adele
216;2017;Shape of You.;Ed Sheeran
217;2019;Bad Guy.;Billie Eilish
218;2020;Blinding Lights.;The Weeknd
219;1789;Liberté;Égalité
220;1863;Government of the people;by the people
221;1917;Friede;Land und Brot.
222;1933;Das einzige;was wir zu fürchten haben
223;1940;Blood;Toil
224;1945;I have returned.;Douglas MacArthur
225;1961;Ich bin ein Berliner.;John F. Kennedy
226;1963;I have a dream.;Martin Luther King
227;1987;Mr. Gorbachev;tear down this wall!
228;1989;Wir sind das Volk.;DDR-Bürgerrechtler
229;2008;Yes We Can.;Barack Obama
230;1968;In der Zukunft wird jeder für 15 Minuten berühmt sein.;Andy Warhol
231;1921;Genie ist 1 % Inspiration und 99 % Transpiration.;Thomas Edison
232;1901;Wer aufhört;besser zu werden
233;1914;Die Welt ist alles;was der Fall ist.
234;1851;Alles;was an der Welt misslungen ist
235;1787;Edel sei der Mensch;hilfreich und gut.
236;1808;Zwei Seelen wohnen;ach! in meiner Brust.
237;1781;Habe Mut;dich deines eigenen Verstandes zu bedienen!
238;1883;Gott ist tot.;Friedrich Nietzsche
239;1883;Also sprach Zarathustra.;Friedrich Nietzsche
240;1923;Das Es;das Ich und das Über-Ich.
241;1930;Das Unbehagen in der Kultur.;Sigmund Freud
242;1943;Das Sein und das Nichts.;Jean-Paul Sartre
243;1949;Das andere Geschlecht.;Simone de Beauvoir
244;1967;Die Gesellschaft des Spektakels.;Guy Debord
245;1979;Die postmoderne Bedingung.;Jean-François Lyotard
246;1981;Simulakren und Simulation.;Jean Baudrillard
247;1990;Das Unbehagen der Geschlechter.;Judith Butler
248;1992;Das Ende der Geschichte.;Francis Fukuyama
249;1993;Kampf der Kulturen.;Samuel P. Huntington
250;2011;Schnelles Denken;langsames Denken.
251;1942;Schau mir in die Augen;Kleines.
252;1939;Möge die Macht mit dir sein.;Star Wars
253;1972;Ich mache ihm ein Angebot;das er nicht ablehnen kann.
254;1980;Ich bin dein Vater.;Darth Vader
255;1984;Ich komme wieder.;Terminator
256;1994;Das Leben ist wie eine Schachtel Pralinen.;Forrest Gump
257;1939;Nach Hause telefonieren.;E.T.
258;1975;Wir brauchen ein größeres Boot.;Jaws
259;1991;Hasta la vista;Baby.
260;1997;Ich bin der König der Welt.;Titanic
261;1976;Redest du mit mir?;Taxi Driver
262;1939;Ehrlich gesagt;meine Liebe
263;1950;Alles;was wir sehen oder scheinen
264;1960;Es gibt kein richtiges Leben im falschen.;Theodor W. Adorno
265;1920;Die Banane reift beim Kunden.;Volksmund
266;1988;Just do it.;Nike
267;1997;Think different.;Apple
268;1971;Vorsprung durch Technik.;Audi
269;1954;Nichts ist unmöglich.;Toyota
270;1922;Haribo macht Kinder froh.;Haribo
271;1947;Diamonds are a girl's best friend.;Marilyn Monroe
272;1968;because you're worth it.;L'Oréal
273;2002;Geiz ist geil.;Saturn
274;1991;Wohnst du noch oder lebst du schon?;IKEA
275;2003;I'm lovin' it.;McDonald's
276;1930;Gute Freunde kann niemand trennen.;Franz Beckenbauer
277;1954;Das Wunder von Bern.;Herbert Zimmermann
278;1966;Das Wembley-Tor.;Fußball-WM 1966
279;1974;Der Kaiser.;Franz Beckenbauer
280;1985;Bumm Bumm Boris.;Boris Becker
281;1990;Wir sind die Nummer eins.;Fußball-WM 1990
282;1997;Quäle dich;du Sau!
283;2006;Das Sommermärchen.;Fußball-WM 2006
284;2014;Mach ihn! Er macht ihn!;Tom Bartels (WM 2014)
285;1896;Dabei sein ist alles.;Olympische Spiele
286;1920;Der Weg ist das Ziel.;Konfuzius (zugeschrieben)
287;1900;Carpe Diem.;Horaz
288;1850;Wer zu spät kommt;den bestraft das Leben.
289;1930;Es gibt nichts Gutes;außer man tut es.
290;1945;Phantasie ist wichtiger als Wissen.;Albert Einstein
291;1915;Logik bringt dich von A nach B. Phantasie überall hin.;Albert Einstein
292;1920;Ein Tag ohne Lächeln ist ein verlorener Tag.;Charlie Chaplin
293;1940;Am Ende wird alles gut. Wenn es nicht gut ist;ist es noch nicht das Ende.
294;1880;Erfahrung ist der Name;den jeder seinen Fehlern gibt.
295;1900;Die besten Dinge im Leben sind nicht die;die man für Geld bekommt.
296;1920;Wer kämpft;kann verlieren. Wer nicht kämpft
297;1950;Gib jedem Tag die Chance;der schönste deines Lebens zu werden.
298;1900;Man sieht nur mit dem Herzen gut.;Antoine de Saint-Exupéry
299;2005;Stay hungry;stay foolish.
300;2006;Ich bin dann mal weg.;Hape Kerkeling
