Land / Gebiet,Typ,Gründungsjahr (Def.),Hintergrund / Systemischer Bruch
Mexiko,Umrisse,1917,Post-Revolution-Verfassung.
Neukaledonien,Umrisse,1998,Nouméa-Abkommen.
Norfolkinsel,Umrisse,2016,Ende der Selbstverwaltung.
Nicaragua,Umrisse,1987,Verfassung.
Niederlande,Umrisse,1983,Totalrevision.
Nauru,Umrisse,1968,Unabhängigkeit.
Niue,Umrisse,1974,Selbstverwaltung.
Oman,Umrisse,2021,Neues Grundgesetz.
Panama,Umrisse,1972,Verfassung.
Peru,Umrisse,1993,Verfassung.
Französisch-Polynesien,Umrisse,2004,Status Überseeland.
St. Pierre/Miquelon,Umrisse,2003,Überseekollektiv.
Pitcairninseln,Umrisse,2010,Verfassungsordnung.
Puerto Rico,Umrisse,1952,Verfassung.
Portugal,Umrisse,1976,Post-Nelkenrevolution.
Paraguay,Umrisse,1992,Post-Diktatur-Verfassung.
Réunion,Umrisse,1946,Überseedépartement.
Rumänien,Umrisse,1991,Post-Kommunismus.
Seychellen,Umrisse,1993,Mehrparteiendemokratie.
Schweden,Umrisse,1974,Regierungsform.
St. Helena,Umrisse,2009,Verfassungsordnung.
Spitzbergen/Jan Mayen,Umrisse,1925,Spitzbergen-Vertrag.
São Tomé und Príncipe,Umrisse,1990,Systemwechsel.
El Salvador,Umrisse,1983,Verfassung.
Sint Maarten,Umrisse,2010,Eigenständigkeit.
Turks/Caicosinseln,Umrisse,2011,Post-Krisen-Verfassung.
Frz. Süd-/Antarktisgeb.,Umrisse,1955,Territorium-Gesetz.
Tokelau,Umrisse,2006,Constitution Act.
Timor-Leste,Umrisse,2002,Unabhängigkeit.
Tonga,Umrisse,2010,Demokratisierung.
Trinidad und Tobago,Umrisse,1976,Republikgründung.
Taiwan,Umrisse,1991,Demokratisierung.
Ukraine,Umrisse,1996,Verfassung.
Uganda,Umrisse,1995,Verfassung.
Vereinigte Staaten,Umrisse,1789,Verfassungsinkrafttreten.
Uruguay,Umrisse,1985,Wiederherstellung Demokratie.
Usbekistan,Umrisse,2023,Verfassungsreform.
St. Vincent...,Umrisse,1985,Systembruch.
Venezuela,Umrisse,1999,Bolivarische Verfassung.
Brit. Jungferninseln,Umrisse,2007,Verfassungsordnung.
Amerik. Jungferninseln,Umrisse,1954,Organic Act.
Wallis und Futuna,Umrisse,1961,Überseegebiet-Status.
Samoa,Umrisse,1962,Unabhängigkeit.
Mayotte,Umrisse,2011,Departement-Status.
