Land / Gebiet,Typ,Gründungsjahr (Def.),Hintergrund / Systemischer Bruch
Honduras,Flaggen,1982,Rückkehr zur Demokratie und neue Verfassung.
Haiti,Flaggen,1987,Verfassung nach Ende der Duvalier-Diktatur.
Ungarn,Flaggen,2012,Inkrafttreten des neuen Grundgesetzes.
Isle of Man,Flaggen,1979,Festigung des Autonomiestatus (Tynwald).
Britisches Terr. Ind. Oz.,Flaggen,1965,Einrichtung als eigenständiges Territorium.
Jersey,Flaggen,2005,Reform der Regierungsstruktur.
St. Kitts und Nevis,Flaggen,1983,Unabhängigkeit vom Vereinigten Königreich.
Kaimaninseln,Flaggen,2009,Aktuelle Verfassungsordnung.
Liechtenstein,Flaggen,2003,Umfassende Verfassungsreform.
Liberia,Flaggen,1986,Aktuelle Verfassung nach Bürgerkrieg.
Monaco,Flaggen,1962,Große Verfassungsreform.
Republik Moldau,Flaggen,1994,Inkrafttreten der Verfassung.
St. Martin,Flaggen,2007,Trennung von Guadeloupe (Überseekollektiv).
Mongolei,Flaggen,1992,Verfassung nach Ende des Einparteiensystems.
SVR Macau,Flaggen,1999,Rückgabe an China (Basic Law).
Nördliche Marianen,Flaggen,1978,Inkrafttreten der eigenen Verfassung.
Martinique,Flaggen,1946,Umwandlung in ein Überseedépartement.
Montserrat,Flaggen,2010,Aktuelle Verfassungsordnung.
Mexiko,Flaggen,1917,Verfassung nach der Revolution.
Neukaledonien,Flaggen,1998,Abkommen von Nouméa (Sonderstatus).
Norfolkinsel,Flaggen,2016,Aufhebung der Selbstverwaltung (Bruch).
Nicaragua,Flaggen,1987,Inkrafttreten der aktuellen Verfassung.
Niederlande,Flaggen,1983,Totalrevision der Verfassung.
Nauru,Flaggen,1968,Unabhängigkeit und Verfassungsgebung.
Niue,Flaggen,1974,Erlangung der Selbstverwaltung (Assoziierung).
Oman,Flaggen,2021,Neues Grundgesetz.
Panama,Flaggen,1972,Aktuelle Verfassung (reformiert).
Peru,Flaggen,1993,Aktuelle Verfassung.
Französisch-Polynesien,Flaggen,2004,Status als Überseeland (POM).
St. Pierre/Miquelon,Flaggen,2003,Status als Überseekollektiv.
Pitcairninseln,Flaggen,2010,Erste moderne Verfassungsordnung.
Puerto Rico,Flaggen,1952,Inkrafttreten der eigenen Verfassung.
Palästina,Flaggen,2003,Revidiertes Grundgesetz.
Portugal,Flaggen,1976,Verfassung nach der Nelkenrevolution.
Paraguay,Flaggen,1992,Verfassung nach Ende der Diktatur.
Réunion,Flaggen,1946,Umwandlung in ein Überseedépartement.
Rumänien,Flaggen,1991,Verfassung nach Ende des Kommunismus.
Seychellen,Flaggen,1993,Rückkehr zur Mehrparteiendemokratie.
Schweden,Flaggen,1974,Aktuelle Regierungsform (Regeringsformen).
St. Helena,Flaggen,2009,Aktuelle Verfassungsordnung.
Spitzbergen/Jan Mayen,Flaggen,1925,Inkrafttreten des Spitzbergen-Vertrags.
São Tomé und Príncipe,Flaggen,1990,Einführung des Mehrparteiensystems.
El Salvador,Flaggen,1983,Inkrafttreten der aktuellen Verfassung.
Sint Maarten,Flaggen,2010,Auflösung der NL-Antillen (Eigenständigkeit).
Turks/Caicosinseln,Flaggen,2011,Neue Verfassung nach politischer Krise.
Frz. Süd-/Antarktisgeb.,Flaggen,1955,Gesetzliche Schaffung des Territoriums.
Tokelau,Flaggen,2006,Tokelau Constitution Act.
Timor-Leste,Flaggen,2002,Unabhängigkeit und Verfassung.
Tonga,Flaggen,2010,Parlamentarisierung der Monarchie.
Trinidad und Tobago,Flaggen,1976,Umwandlung in eine Republik.
Taiwan,Flaggen,1991,Beginn der Demokratisierung (Zusatzartikel).
Ukraine,Flaggen,1996,Inkrafttreten der aktuellen Verfassung.
Uganda,Flaggen,1995,Inkrafttreten der aktuellen Verfassung.
Amerik. Überseeinseln,Flaggen,1947,Einrichtung der UN-Treuhandverwaltung.
Vereinigte Staaten,Flaggen,1789,Inkrafttreten der US-Verfassung.
Uruguay,Flaggen,1985,Wiederherstellung der Verfassung.
Usbekistan,Flaggen,2023,Umfangreiche Verfassungsreform.
St. Vincent...,Flaggen,1985,Neuer systemischer Bruch (Politik/Flagge).
Venezuela,Flaggen,1999,Inkrafttreten der Bolivarischen Verfassung.
Brit. Jungferninseln,Flaggen,2007,Neue Verfassungsordnung.
Amerik. Jungferninseln,Flaggen,1954,Revised Organic Act.
Wallis und Futuna,Flaggen,1961,Status als Überseegebiet.
Samoa,Flaggen,1962,Unabhängigkeit von Neuseeland.
Mayotte,Flaggen,2011,Status als französisches Département.
